id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1857,CYPT,small_airport,Pelee Island Airport,41.778033,-82.674222,572,,Canada,CA,Ontario,CA-ON,ON,Pelee Island,1,CYPT,,,,,https://en.wikipedia.org/wiki/Pelee_Island_Airport,YPT,100,2024-04-04T13:16:15+00:00
852,CEG4,small_airport,Drumheller Municipal Airport,51.49639893,-112.7490005,2597,,Canada,CA,Alberta,CA-AB,AB,Drumheller,0,CEG4,,,CEG4,,https://en.wikipedia.org/wiki/Drumheller_Municipal_Airport,EG4,50,2008-06-13T14:30:04+00:00
2044,CZVL,small_airport,Edmonton / Villeneuve Airport,53.6675,-113.853996,2256,,Canada,CA,Alberta,CA-AB,AB,Edmonton,0,CZVL,CZVL,,,,https://en.wikipedia.org/wiki/Edmonton/Villeneuve_Airport,ZVL,50,2025-06-03T18:23:56+00:00
1989,CYYY,medium_airport,Mont Joli Airport,48.60860062,-68.20809937,172,,Canada,CA,Quebec,CA-QC,QC,Mont-Joli,1,CYYY,CYYY,YYY,,,https://en.wikipedia.org/wiki/Mont-Joli_Airport,,750,2008-06-13T14:30:04+00:00
1842,CYPA,medium_airport,Prince Albert Glass Field,53.21419907,-105.6729965,1405,,Canada,CA,Saskatchewan,CA-SK,SK,Prince Albert,1,CYPA,CYPA,YPA,,,https://en.wikipedia.org/wiki/Prince_Albert_(Glass_Field)_Airport,,750,2014-03-16T21:31:29+00:00
1855,CYPR,medium_airport,Prince Rupert Airport,54.28609848,-130.4450073,116,,Canada,CA,British Columbia,CA-BC,BC,Prince Rupert,1,CYPR,CYPR,YPR,,http://www.ypr.ca/,https://en.wikipedia.org/wiki/Prince_Rupert_Airport,,750,2013-04-25T03:32:57+00:00
1895,CYRT,medium_airport,Rankin Inlet Airport,62.81140137,-92.11579895,94,,Canada,CA,Nunavut,CA-NU,NU,Rankin Inlet,1,CYRT,CYRT,YRT,,,https://en.wikipedia.org/wiki/Rankin_Inlet_Airport,,750,2014-03-16T22:07:58+00:00
2001,CYZV,medium_airport,Sept-Îles Airport,50.22330093,-66.26560211,180,,Canada,CA,Quebec,CA-QC,QC,Sept-Îles,1,CYZV,CYZV,YZV,,,https://en.wikipedia.org/wiki/Sept-%C3%8Eles_Airport,,750,2008-06-20T19:37:36+00:00
1974,CYYD,medium_airport,Smithers Airport,54.8246994,-127.1829987,1712,,Canada,CA,British Columbia,CA-BC,BC,Smithers,1,CYYD,CYYD,YYD,,,https://en.wikipedia.org/wiki/Smithers_Airport,,750,2008-06-13T14:30:04+00:00
1967,CYXT,medium_airport,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,713,,Canada,CA,British Columbia,CA-BC,BC,Terrace,1,CYXT,CYXT,YXT,,,https://en.wikipedia.org/wiki/Terrace_Airport,,750,2016-09-25T14:06:58+00:00
